time	V(vin)	V(n001)
3.500514795710687e-002	0.000000e+000	2.675331e+000
3.500687991207196e-002	0.000000e+000	3.330104e+000
3.500873896766567e-002	0.000000e+000	3.858192e+000
3.501063927892213e-002	0.000000e+000	4.238985e+000
3.501273026408645e-002	0.000000e+000	4.516182e+000
3.501516248031667e-002	0.000000e+000	4.717628e+000
3.501772200149658e-002	0.000000e+000	4.841638e+000
3.502060733758305e-002	0.000000e+000	4.917458e+000
3.502381723274996e-002	0.000000e+000	4.959939e+000
3.502775505273063e-002	0.000000e+000	4.983308e+000
3.503256422160775e-002	0.000000e+000	4.994263e+000
3.503903572609896e-002	0.000000e+000	4.998613e+000
3.504803169413417e-002	0.000000e+000	4.999853e+000
3.505803169413418e-002	0.000000e+000	5.000001e+000
3.506803169413418e-002	0.000000e+000	5.000000e+000
3.999999900000000e-002	0.000000e+000	5.000000e+000
4.000000000000000e-002	0.000000e+000	5.000000e+000
4.000000000961249e-002	4.806242e-002	5.000143e+000
4.000000002883746e-002	1.441873e-001	5.000430e+000
4.000000029798712e-002	1.489936e+000	5.004436e+000
4.000000060558672e-002	3.027934e+000	5.008975e+000
4.000000100000000e-002	5.000000e+000	5.014741e+000
4.000000100086758e-002	5.000000e+000	5.014740e+000
4.000000100260273e-002	5.000000e+000	5.014740e+000
4.000005785660817e-002	5.000000e+000	4.987380e+000
4.000011471408391e-002	5.000000e+000	4.960024e+000
4.000017167436729e-002	5.000000e+000	4.932618e+000
4.000028559493406e-002	5.000000e+000	4.877800e+000
4.000045281036915e-002	5.000000e+000	4.797337e+000
4.000057854322009e-002	5.000000e+000	4.736869e+000
4.000074678699073e-002	5.000000e+000	4.656051e+000
4.000108327453202e-002	5.000000e+000	4.494749e+000
4.000175624961460e-002	5.000000e+000	4.173458e+000
4.000310219977975e-002	5.000000e+000	3.536556e+000
4.000468318131401e-002	5.000000e+000	2.809932e+000
4.000633005561190e-002	5.000000e+000	2.113894e+000
4.000807373258918e-002	5.000000e+000	1.495278e+000
4.001007470722823e-002	5.000000e+000	9.730074e-001
4.001297174913845e-002	5.000000e+000	4.650503e-001
4.001447296837910e-002	5.000000e+000	2.973003e-001
4.001571207212935e-002	5.000000e+000	2.122527e-001
4.001715677737159e-002	5.000000e+000	1.440845e-001
4.001868464102323e-002	5.000000e+000	9.455632e-002
4.002015797978250e-002	5.000000e+000	6.254705e-002
4.002157386037430e-002	5.000000e+000	4.201910e-002
4.002296875315464e-002	5.000000e+000	2.841530e-002
4.002436110405765e-002	5.000000e+000	1.922710e-002
4.002574835542354e-002	5.000000e+000	1.302350e-002
4.002713665419994e-002	5.000000e+000	8.816279e-003
4.002851767854125e-002	5.000000e+000	5.978955e-003
4.002989974008940e-002	5.000000e+000	4.053677e-003
4.003127822782594e-002	5.000000e+000	2.750832e-003
4.003265833713153e-002	5.000000e+000	1.865882e-003
4.003403611389110e-002	5.000000e+000	1.266355e-003
4.003541509012522e-002	5.000000e+000	8.591873e-004
4.003679250178598e-002	5.000000e+000	5.831667e-004
4.003817087418588e-002	5.000000e+000	3.957204e-004
4.003954820685351e-002	5.000000e+000	2.692696e-004
4.004104016815225e-002	5.000000e+000	1.781413e-004
4.004267852368757e-002	5.000000e+000	1.138255e-004
4.004470737370048e-002	5.000000e+000	6.572626e-005
4.004708653997817e-002	5.000000e+000	3.463473e-005
4.005021025038506e-002	5.000000e+000	1.518903e-005
4.005428397792022e-002	5.000000e+000	5.260437e-006
4.006034627099071e-002	5.000000e+000	1.152443e-006
4.007019233870025e-002	5.000000e+000	5.282852e-008
4.160019233870072e-002	5.000000e+000	3.568793e-009
4.500000000000000e-002	5.000000e+000	3.568793e-009
4.500000100000000e-002	5.000000e+000	3.568793e-009
4.500000100220000e-002	4.989000e+000	-3.408134e-005
4.500000100660000e-002	4.967000e+000	-1.022546e-004
4.500000113860000e-002	4.307000e+000	-2.147513e-003
4.500000127940000e-002	3.603000e+000	-4.326953e-003
4.500000156100000e-002	2.195000e+000	-8.653872e-003
4.500000200000000e-002	1.997901e-008	-1.533063e-002
4.500000200096613e-002	0.000000e+000	-1.533005e-002
4.500000200289839e-002	0.000000e+000	-1.532890e-002
4.500000652494235e-002	0.000000e+000	-1.262985e-002
4.500001104698630e-002	0.000000e+000	-9.931389e-003
4.500001556903027e-002	0.000000e+000	-7.233515e-003
4.500002009107423e-002	0.000000e+000	-4.536227e-003
4.500002461311819e-002	0.000000e+000	-1.839527e-003
4.500002913516214e-002	0.000000e+000	8.565874e-004
4.500003365720610e-002	0.000000e+000	3.552115e-003
4.500006531537835e-002	0.000000e+000	2.241018e-002
4.500012052282371e-002	0.000000e+000	5.525468e-002
4.500017595403181e-002	0.000000e+000	8.817849e-002
4.500026569059761e-002	0.000000e+000	1.413737e-001
4.500035709977129e-002	0.000000e+000	1.954216e-001
4.500045701462987e-002	0.000000e+000	2.542980e-001
4.500056498202617e-002	0.000000e+000	3.176160e-001
4.500078091681876e-002	0.000000e+000	4.432461e-001
4.500121278640395e-002	0.000000e+000	6.907517e-001
4.500207652557432e-002	0.000000e+000	1.171687e+000
4.500340214041741e-002	0.000000e+000	1.865699e+000
4.500513333054642e-002	0.000000e+000	2.669268e+000
4.500686387412697e-002	0.000000e+000	3.324774e+000
4.500872405345439e-002	0.000000e+000	3.854594e+000
4.501062306420309e-002	0.000000e+000	4.236104e+000
4.501272930377312e-002	0.000000e+000	4.515798e+000
4.501517005334483e-002	0.000000e+000	4.718063e+000
4.501773202895111e-002	0.000000e+000	4.842034e+000
4.502061534244839e-002	0.000000e+000	4.917636e+000
4.502382680644251e-002	0.000000e+000	4.960033e+000
4.502776608153864e-002	0.000000e+000	4.983351e+000
4.503258068140400e-002	0.000000e+000	4.994284e+000
4.503905644154530e-002	0.000000e+000	4.998620e+000
4.504806482976300e-002	0.000000e+000	4.999854e+000
4.505806482976300e-002	0.000000e+000	5.000002e+000
4.506806482976301e-002	0.000000e+000	5.000000e+000
4.999999900000000e-002	0.000000e+000	5.000000e+000
5.000000000000000e-002	0.000000e+000	5.000000e+000
5.000000000961249e-002	4.806242e-002	5.000143e+000
5.000000002883746e-002	1.441873e-001	5.000430e+000
5.000000029798712e-002	1.489936e+000	5.004436e+000
5.000000060558672e-002	3.027934e+000	5.008975e+000
5.000000100000000e-002	5.000000e+000	5.014741e+000
5.000000100086758e-002	5.000000e+000	5.014740e+000
5.000000100260273e-002	5.000000e+000	5.014740e+000
5.000005785660817e-002	5.000000e+000	4.987380e+000
5.000011471408391e-002	5.000000e+000	4.960024e+000
5.000017167436732e-002	5.000000e+000	4.932618e+000
5.000028559493414e-002	5.000000e+000	4.877800e+000
5.000045281036919e-002	5.000000e+000	4.797337e+000
5.000057854322016e-002	5.000000e+000	4.736869e+000
5.000074678699081e-002	5.000000e+000	4.656051e+000
5.000108327453211e-002	5.000000e+000	4.494749e+000
5.000175624961471e-002	5.000000e+000	4.173458e+000
5.000310219977990e-002	5.000000e+000	3.536556e+000
5.000468318131421e-002	5.000000e+000	2.809932e+000
